protocol_id,image_id,reviewed,review_method,text_region_count,screen_region_count,text_legibility_subgroup,screen_subgroup,view_type,participant_id,day_id,event_key,selection_stratum,source_manifest,text_boxes_json,screen_boxes_json,text_review_status,screen_review_status,manual_text_present,manual_contains_legible_text,manual_screen_present,manual_screen_contains_sensitive_content,reviewer_id,manual_notes
MM2_0046,day1/members/luca/08_0255.webp,yes,manual reviewer-app verification by the project reviewers,1,1,legible_text,potentially_sensitive_screen_content,egocentric,luca,day1,day1/8/2,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":1258,""y1"":1816,""x2"":2018,""y2"":2160,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visually located text region; verify or refine in the reviewer.""}]","[{""x1"":2536,""y1"":136,""x2"":2708,""y2"":234,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.3375,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":0.8672}]",reviewed,reviewed,yes,yes,yes,yes,,Reviewer-app verified.
MM2_0047,day1/members/werner/08_0632.webp,yes,manual reviewer-app verification by the project reviewers,1,0,legible_text,no_visible_screen,egocentric,werner,day1,day1/8/6,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":141,""y1"":1703,""x2"":363,""y2"":1945,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""}]",[],reviewed,reviewed,yes,yes,no,no,,Reviewer-app verified.
MM2_0048,day1/members/florian/08_0344.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,florian,day1,day1/8/3,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0049,day1/members/onanong/09_0581.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,onanong,day1,day1/9/5,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":204,""y1"":1214,""x2"":2015,""y2"":2124,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.3887,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":2.0938}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0050,day1/members/luca/09_0045.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,luca,day1,day1/9/0,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0051,day1/members/onanong/09_0482.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,onanong,day1,day1/9/4,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1631,""y1"":1385,""x2"":3115,""y2"":2124,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.1381,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":2.5938}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0052,day1/members/onanong/09_0283.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,onanong,day1,day1/9/2,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1536,""y1"":1816,""x2"":2308,""y2"":2100,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.6943,""validation_source"":""source_aware_visual_seed_gate"",""display_margin"":-0.2891}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0053,day2/members/tien/10_0485.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,tien,day2,day2/10/4,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0054,day2/members/florian/10_0037.webp,yes,manual reviewer-app verification by the project reviewers,5,0,legible_text,no_visible_screen,egocentric,florian,day2,day2/10/0,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":1614,""y1"":78,""x2"":1662,""y2"":134,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":3621,""y1"":1011,""x2"":3829,""y2"":1169,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":2505,""y1"":1476,""x2"":3132,""y2"":2058,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":2826,""y1"":354,""x2"":3675,""y2"":1536,""score"":"""",""annotator_id"":""reviewed"",""annotation_round"":1,""condition_label"":""multimodal_text_screen_review"",""notes"":""""},{""x1"":1503,""y1"":33,""x2"":1821,""y2"":372,""score"":"""",""annotator_id"":""reviewed"",""annotation_round"":1,""condition_label"":""multimodal_text_screen_review"",""notes"":""""}]",[],reviewed,reviewed,yes,yes,no,no,,Reviewer-app verified.
MM2_0055,day2/members/klaus/10_0583.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,klaus,day2,day2/10/5,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0056,day2/members/klaus/10_0709.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,klaus,day2,day2/10/7,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0057,day2/members/stevan/11_0550.webp,yes,manual reviewer-app verification by the project reviewers,1,0,legible_text,no_visible_screen,egocentric,stevan,day2,day2/11/5,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":1530,""y1"":880,""x2"":2740,""y2"":1910,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visually located text region; verify or refine in the reviewer.""}]",[],reviewed,reviewed,yes,yes,no,no,,Reviewer-app verified.
MM2_0058,day2/members/stevan/11_0346.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,stevan,day2,day2/11/3,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0059,day2/members/stevan/11_0104.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,stevan,day2,day2/11/1,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0060,day2/members/stevan/11_0245.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,stevan,day2,day2/11/2,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0061,day2/members/klaus/12_0131.webp,yes,manual reviewer-app verification by the project reviewers,1,0,legible_text,no_visible_screen,egocentric,klaus,day2,day2/12/1,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":1761,""y1"":1629,""x2"":2670,""y2"":2142,""score"":"""",""annotator_id"":""reviewed"",""annotation_round"":1,""condition_label"":""multimodal_text_screen_review"",""notes"":""""}]",[],reviewed,reviewed,yes,yes,no,no,,Reviewer-app verified.
MM2_0062,day2/members/luca/12_0322.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,luca,day2,day2/12/3,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1397,""y1"":982,""x2"":2679,""y2"":1674,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.9281,""validation_source"":""source_aware_visual_seed_gate"",""display_margin"":-3.9297}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0063,day2/members/klaus/12_0217.webp,yes,manual reviewer-app verification by the project reviewers,1,0,legible_text,no_visible_screen,egocentric,klaus,day2,day2/12/2,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":2205,""y1"":1635,""x2"":3195,""y2"":2142,""score"":"""",""annotator_id"":""reviewed"",""annotation_round"":1,""condition_label"":""multimodal_text_screen_review"",""notes"":""""}]",[],reviewed,reviewed,yes,yes,no,no,,Reviewer-app verified.
MM2_0064,day2/members/cathal/12_0720.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,cathal,day2,day2/12/7,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0065,day2/members/tien/13_0301.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,tien,day2,day2/13/3,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1186,""y1"":771,""x2"":2806,""y2"":1751,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.806,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":3.4062}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0066,day2/members/tien/13_0227.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,tien,day2,day2/13/2,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1224,""y1"":871,""x2"":2788,""y2"":1898,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.7807,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":2.5469}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0067,day2/members/tien/13_0078.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,tien,day2,day2/13/0,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1093,""y1"":791,""x2"":2791,""y2"":1847,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.8608,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":1.4062}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0068,day2/members/tien/13_0190.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,tien,day2,day2/13/1,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1232,""y1"":830,""x2"":2823,""y2"":1832,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.8554,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":3.4297}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0069,day2/members/bjorn/14_0689.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,bjorn,day2,day2/14/6,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1493,""y1"":1247,""x2"":3144,""y2"":2145,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.5156,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":0.3906}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0070,day2/members/werner/14_0023.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,werner,day2,day2/14/0,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1300,""y1"":950,""x2"":3100,""y2"":2020,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visually located screen region; verify or refine in the reviewer.""}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0071,day2/members/luca/14_0216.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,luca,day2,day2/14/2,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0072,day2/members/bjorn/14_0374.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,bjorn,day2,day2/14/3,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0073,day2/members/klaus/15_0332.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,klaus,day2,day2/15/3,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1265,""y1"":514,""x2"":3062,""y2"":1427,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.7545,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":3.6406}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0074,day2/members/klaus/15_0290.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,klaus,day2,day2/15/2,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1305,""y1"":861,""x2"":3077,""y2"":1810,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.7637,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":3.0078}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0075,day2/members/klaus/15_0417.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,klaus,day2,day2/15/4,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1287,""y1"":458,""x2"":3046,""y2"":1367,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.7376,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":4.4844}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0076,day2/members/florian/15_0625.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,florian,day2,day2/15/6,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":948,""y1"":305,""x2"":2709,""y2"":1218,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.6854,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":4.2578}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0077,day2/members/florian/16_0007.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,florian,day2,day2/16/0,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1072,""y1"":412,""x2"":2768,""y2"":1289,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.8143,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":4.2344}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0078,day2/members/florian/16_0111.webp,yes,manual reviewer-app verification by the project reviewers,0,2,no_visible_text,potentially_sensitive_screen_content,egocentric,florian,day2,day2/16/1,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1416,""y1"":1929,""x2"":1640,""y2"":2145,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.1328,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":0.7188},{""x1"":1057,""y1"":418,""x2"":2698,""y2"":1267,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.8026,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":3.6953}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0079,day2/members/allie/16_0461.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,allie,day2,day2/16/4,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":957,""y1"":694,""x2"":2606,""y2"":1809,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.8111,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":3.4766}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0080,day2/members/allie/16_0504.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,allie,day2,day2/16/5,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":961,""y1"":661,""x2"":2602,""y2"":1768,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.8658,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":2.8438}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0081,day2/members/florian/17_0708.webp,yes,manual reviewer-app verification by the project reviewers,19,0,legible_text,no_visible_screen,egocentric,florian,day2,day2/17/7,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":1442,""y1"":1346,""x2"":1570,""y2"":1402,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1192,""y1"":1368,""x2"":1308,""y2"":1424,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1239,""y1"":1411,""x2"":1337,""y2"":1449,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1197,""y1"":1443,""x2"":1347,""y2"":1519,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1855,""y1"":1467,""x2"":1941,""y2"":1513,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1856,""y1"":1518,""x2"":1978,""y2"":1578,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":2025,""y1"":1563,""x2"":2129,""y2"":1631,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1443,""y1"":1603,""x2"":1571,""y2"":1651,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1915,""y1"":1693,""x2"":2033,""y2"":1763,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1315,""y1"":1709,""x2"":1375,""y2"":1751,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1624,""y1"":1728,""x2"":1838,""y2"":1814,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1955,""y1"":1729,""x2"":2079,""y2"":1799,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1212,""y1"":1756,""x2"":1296,""y2"":1788,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1995,""y1"":1791,""x2"":2061,""y2"":1839,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1841,""y1"":1823,""x2"":2049,""y2"":1899,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1628,""y1"":1842,""x2"":1704,""y2"":1900,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1874,""y1"":1906,""x2"":1946,""y2"":1966,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1585,""y1"":1973,""x2"":1935,""y2"":2051,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1189,""y1"":2053,""x2"":1285,""y2"":2093,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""}]",[],reviewed,reviewed,yes,yes,no,no,,Reviewer-app verified.
MM2_0082,day2/members/cathal/17_0514.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,cathal,day2,day2/17/5,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1620,""y1"":1233,""x2"":2895,""y2"":1869,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.8881,""validation_source"":""source_aware_visual_seed_gate"",""display_margin"":-3.1328}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0083,day2/members/cathal/17_0031.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,cathal,day2,day2/17/0,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1245,""y1"":1317,""x2"":2604,""y2"":2021,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.9003,""validation_source"":""source_aware_visual_seed_gate"",""display_margin"":-1.3281}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0084,day2/members/cathal/17_0470.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,cathal,day2,day2/17/4,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1665,""y1"":1299,""x2"":2835,""y2"":1881,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.9202,""validation_source"":""source_aware_visual_seed_gate"",""display_margin"":-3}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0085,day2/members/allie/18_0481.webp,yes,manual reviewer-app verification by the project reviewers,1,0,legible_text,no_visible_screen,egocentric,allie,day2,day2/18/4,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":1508,""y1"":1594,""x2"":2458,""y2"":2136,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visually located text region; verify or refine in the reviewer.""}]",[],reviewed,reviewed,yes,yes,no,no,,Reviewer-app verified.
MM2_0086,day2/members/cathal/18_0623.webp,yes,manual reviewer-app verification by the project reviewers,1,0,legible_text,no_visible_screen,egocentric,cathal,day2,day2/18/6,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":1962,""y1"":1701,""x2"":2844,""y2"":2142,""score"":"""",""annotator_id"":""reviewed"",""annotation_round"":1,""condition_label"":""multimodal_text_screen_review"",""notes"":""""}]",[],reviewed,reviewed,yes,yes,no,no,,Reviewer-app verified.
MM2_0087,day2/members/cathal/18_0165.webp,yes,manual reviewer-app verification by the project reviewers,0,2,no_visible_text,potentially_sensitive_screen_content,egocentric,cathal,day2,day2/18/1,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1594,""y1"":481,""x2"":2151,""y2"":953,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.7517,""validation_source"":""source_aware_visual_seed_gate"",""display_margin"":-1.2031},{""x1"":1691,""y1"":1116,""x2"":3136,""y2"":1853,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.8734,""validation_source"":""source_aware_visual_seed_gate"",""display_margin"":-3.1797}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
