protocol_id,image_id,evaluation_split,ground_truth_risk_state,predicted_risk_state,ground_truth_text_present,predicted_text_present,ground_truth_screen_present,predicted_screen_present,text_present,screen_present,no_text_screen_risk,multimodal_risk_state,route_action,multimodal_route_action
MM2_0177,day4/members/luca/15_0035.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0178,day4/members/luca/15_0156.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0179,day4/members/allie/15_0359.webp,test,no_text_screen_risk,text_and_screen_present,False,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0180,day4/members/luca/15_0400.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0181,day4/members/cathal/17_0690.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0182,day4/members/cathal/17_0491.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0183,day4/members/cathal/18_0491.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0184,day4/members/klaus/18_0284.webp,test,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0185,day4/members/klaus/18_0722.webp,development,no_text_screen_risk,text_and_screen_present,False,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0186,day4/members/florian/18_0190.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0187,day4/members/klaus/08_0708.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0188,day4/members/allie/08_0148.webp,development,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0189,day4/members/bao/08_0661.webp,development,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0190,day4/members/allie/08_0440.webp,test,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0191,day4/members/klaus/09_0177.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0192,day4/members/werner/09_0063.webp,test,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0193,day4/members/bao/09_0706.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0194,day4/members/bjorn/09_0278.webp,test,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0195,day2/members/werner/13_0638.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0196,day2/members/allie/16_0630.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0197,day2/members/bjorn/15_0164.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0198,day2/members/bjorn/15_0006.webp,test,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0199,day2/members/florian/15_0574.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0200,day2/members/werner/13_0585.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0201,day2/members/onanong/16_0261.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0202,day1/members/klaus/10_0156.webp,test,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0203,day1/members/allie/11_0283.webp,development,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0204,day1/members/tien/12_0054.webp,development,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0205,day1/members/onanong/13_0368.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0206,day1/members/bjorn/14_0517.webp,test,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0207,day1/members/klaus/15_0702.webp,development,no_text_screen_risk,text_and_screen_present,False,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0208,day1/members/klaus/16_0701.webp,test,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0209,day1/members/cathal/17_0621.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0210,day1/members/cathal/18_0367.webp,development,no_text_screen_risk,text_and_screen_present,False,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0211,day1/members/werner/19_0162.webp,development,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0212,day1/members/bjorn/20_0408.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0213,day1/members/werner/08_0091.webp,test,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0214,day1/members/cathal/09_0716.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0215,day2/members/tien/10_0260.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0216,day2/members/klaus/11_0708.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0217,day2/members/luca/12_0426.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0218,day2/members/tien/13_0711.webp,test,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0219,day2/members/onanong/14_0700.webp,test,no_text_screen_risk,screen_present,False,False,False,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0220,day2/members/allie/15_0719.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0221,day2/members/cathal/16_0705.webp,development,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0222,day2/members/onanong/17_0653.webp,development,screen_present,no_text_screen_risk,False,False,True,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0223,day2/members/cathal/18_0581.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0224,day2/members/tien/19_0715.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0225,day2/members/florian/20_0202.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0226,day2/members/werner/08_0334.webp,development,text_present,text_present,True,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0227,day2/members/luca/09_0121.webp,test,text_present,text_present,True,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0228,day3/members/cathal/10_0712.webp,development,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0229,day3/members/cathal/11_0455.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0230,day3/members/allie/12_0708.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0231,day3/members/cathal/13_0330.webp,development,text_present,text_present,True,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0232,day3/members/florian/14_0653.webp,development,text_present,text_present,True,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0233,day3/members/allie/15_0345.webp,test,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0234,day3/members/florian/16_0712.webp,development,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0235,day3/members/onanong/17_0712.webp,development,no_text_screen_risk,text_and_screen_present,False,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0236,day3/members/cathal/18_0174.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0237,day3/members/florian/19_0720.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0238,day3/members/stevan/20_0722.webp,development,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0239,day3/members/luca/08_0205.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0240,day3/members/klaus/09_0370.webp,test,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0241,day4/members/florian/10_0495.webp,test,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0242,day4/members/cathal/11_0445.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0243,day4/members/florian/12_0627.webp,test,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0244,day4/members/florian/13_0284.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0245,day4/members/florian/14_0024.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0246,day4/members/stevan/15_0504.webp,development,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0247,day4/members/cathal/17_0557.webp,development,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0248,day4/members/klaus/18_0374.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0249,day4/members/klaus/08_0259.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0250,day4/members/bao/09_0349.webp,test,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
